/root/miniconda3/lib/python3.10/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
=> merge config from ../code/configs/swin_tiny_patch4_window7_224_lite.yaml
=> merge config from ../code/configs/vmamba_tiny.yaml
Namespace(root_path='../data/ACDC', exp='ACDC/VIM', model='mambaunet', num_classes=4, cfg='../code/configs/vmamba_tiny.yaml', opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False, max_iterations=10000, batch_size=24, deterministic=1, base_lr=0.01, patch_size=[224, 224], seed=1337, labeled_num=140)
---final upsample expand_first---
pretrained_path:../code/pretrained_ckpt/vmamba_tiny_e292.pth
---start load pretrained modle of swin encoder---
total 1312 samples
total 20 samples
55 iterations per epoch
  0%|                                         | 0/182 [00:00<?, ?it/s]iteration 1 : loss : 1.129584, loss_ce: 1.436075, loss_dice: 0.823094
iteration 237 : loss : 0.182426, loss_ce: 0.078585, loss_dice: 0.286268
iteration 238 : loss : 0.177640, loss_ce: 0.079747, loss_dice: 0.275533
iteration 239 : loss : 0.176409, loss_ce: 0.077110, loss_dice: 0.275707
iteration 240 : loss : 0.180750, loss_ce: 0.074246, loss_dice: 0.287253
iteration 241 : loss : 0.157000, loss_ce: 0.061133, loss_dice: 0.252866
iteration 242 : loss : 0.182076, loss_ce: 0.059850, loss_dice: 0.304302
iteration 243 : loss : 0.185296, loss_ce: 0.080261, loss_dice: 0.290330
iteration 244 : loss : 0.171411, loss_ce: 0.066531, loss_dice: 0.276290
iteration 245 : loss : 0.164946, loss_ce: 0.068921, loss_dice: 0.260971
iteration 246 : loss : 0.190660, loss_ce: 0.091600, loss_dice: 0.289721
iteration 247 : loss : 0.146055, loss_ce: 0.068497, loss_dice: 0.223612
iteration 248 : loss : 0.145782, loss_ce: 0.064648, loss_dice: 0.226916
iteration 249 : loss : 0.161257, loss_ce: 0.056026, loss_dice: 0.266488
iteration 250 : loss : 0.173656, loss_ce: 0.063031, loss_dice: 0.284281
iteration 251 : loss : 0.165220, loss_ce: 0.061385, loss_dice: 0.269055
iteration 252 : loss : 0.165484, loss_ce: 0.080474, loss_dice: 0.250495
iteration 253 : loss : 0.153955, loss_ce: 0.061775, loss_dice: 0.246136
iteration 254 : loss : 0.162196, loss_ce: 0.067221, loss_dice: 0.257171
iteration 255 : loss : 0.170196, loss_ce: 0.065308, loss_dice: 0.275083
iteration 256 : loss : 0.172293, loss_ce: 0.066140, loss_dice: 0.278446
iteration 257 : loss : 0.135351, loss_ce: 0.050278, loss_dice: 0.220424
iteration 258 : loss : 0.168819, loss_ce: 0.076676, loss_dice: 0.260961
iteration 259 : loss : 0.161487, loss_ce: 0.058270, loss_dice: 0.264705
iteration 260 : loss : 0.153432, loss_ce: 0.068879, loss_dice: 0.237986
iteration 261 : loss : 0.143424, loss_ce: 0.052376, loss_dice: 0.234472
iteration 262 : loss : 0.157656, loss_ce: 0.062776, loss_dice: 0.252536
iteration 263 : loss : 0.147510, loss_ce: 0.063083, loss_dice: 0.231938
iteration 264 : loss : 0.150513, loss_ce: 0.057979, loss_dice: 0.243048
iteration 265 : loss : 0.154764, loss_ce: 0.076284, loss_dice: 0.233244
iteration 266 : loss : 0.134940, loss_ce: 0.058617, loss_dice: 0.211264
iteration 267 : loss : 0.155132, loss_ce: 0.056550, loss_dice: 0.253715
iteration 268 : loss : 0.149537, loss_ce: 0.058346, loss_dice: 0.240728
iteration 269 : loss : 0.126045, loss_ce: 0.053956, loss_dice: 0.198134
iteration 270 : loss : 0.129496, loss_ce: 0.051262, loss_dice: 0.207731
iteration 271 : loss : 0.159697, loss_ce: 0.062679, loss_dice: 0.256714
iteration 272 : loss : 0.133089, loss_ce: 0.064846, loss_dice: 0.201333
iteration 273 : loss : 0.151031, loss_ce: 0.064520, loss_dice: 0.237543
iteration 274 : loss : 0.162836, loss_ce: 0.065221, loss_dice: 0.260452
iteration 275 : loss : 0.138064, loss_ce: 0.064433, loss_dice: 0.211696
  3%|▉                                | 5/182 [01:30<54:09, 18.36s/it]iteration 276 : loss : 0.128520, loss_ce: 0.055192, loss_dice: 0.201849
iteration 277 : loss : 0.119411, loss_ce: 0.047268, loss_dice: 0.191555
iteration 278 : loss : 0.149529, loss_ce: 0.058615, loss_dice: 0.240443
iteration 279 : loss : 0.121930, loss_ce: 0.048968, loss_dice: 0.194892
iteration 280 : loss : 0.121375, loss_ce: 0.054181, loss_dice: 0.188569
iteration 281 : loss : 0.162998, loss_ce: 0.079901, loss_dice: 0.246096
iteration 282 : loss : 0.168648, loss_ce: 0.077642, loss_dice: 0.259653
iteration 283 : loss : 0.135359, loss_ce: 0.061900, loss_dice: 0.208818
iteration 284 : loss : 0.148553, loss_ce: 0.056229, loss_dice: 0.240877
iteration 285 : loss : 0.136658, loss_ce: 0.067599, loss_dice: 0.205718
iteration 286 : loss : 0.148243, loss_ce: 0.070678, loss_dice: 0.225808
iteration 287 : loss : 0.125224, loss_ce: 0.050957, loss_dice: 0.199491
iteration 288 : loss : 0.133377, loss_ce: 0.060377, loss_dice: 0.206377
iteration 289 : loss : 0.134987, loss_ce: 0.062894, loss_dice: 0.207080
iteration 290 : loss : 0.126251, loss_ce: 0.059047, loss_dice: 0.193454
iteration 291 : loss : 0.126129, loss_ce: 0.052926, loss_dice: 0.199332
iteration 292 : loss : 0.153061, loss_ce: 0.070836, loss_dice: 0.235287
iteration 293 : loss : 0.117516, loss_ce: 0.048316, loss_dice: 0.186716
iteration 294 : loss : 0.148425, loss_ce: 0.063164, loss_dice: 0.233685
iteration 295 : loss : 0.128817, loss_ce: 0.060411, loss_dice: 0.197222
iteration 296 : loss : 0.122919, loss_ce: 0.049667, loss_dice: 0.196171
iteration 297 : loss : 0.109206, loss_ce: 0.047259, loss_dice: 0.171153
iteration 298 : loss : 0.113681, loss_ce: 0.039439, loss_dice: 0.187923
iteration 299 : loss : 0.116959, loss_ce: 0.044215, loss_dice: 0.189703
iteration 300 : loss : 0.109882, loss_ce: 0.044693, loss_dice: 0.175072
iteration 301 : loss : 0.125787, loss_ce: 0.061046, loss_dice: 0.190528
iteration 302 : loss : 0.101927, loss_ce: 0.048243, loss_dice: 0.155610
iteration 303 : loss : 0.127654, loss_ce: 0.056312, loss_dice: 0.198996
iteration 304 : loss : 0.119737, loss_ce: 0.046067, loss_dice: 0.193406
iteration 305 : loss : 0.106515, loss_ce: 0.047494, loss_dice: 0.165536
iteration 306 : loss : 0.103228, loss_ce: 0.041148, loss_dice: 0.165308
